Volt,Corrente
     2.144,     1.500
     2.132,     1.800
     2.140,     1.700
     2.140,     1.800
     2.140,     1.500
     2.144,     1.800
     2.128,     2.000
     2.140,     1.900
     2.160,     1.900
     2.180,     1.900
     2.184,     1.800
     2.200,     1.900
     2.192,     2.000
     2.184,     1.900
     2.180,     1.900
     2.168,     1.700
     2.168,     1.800
     2.168,     1.700
     2.172,     1.800
     2.168,     1.800
     2.164,     1.700
     2.124,     1.500
     2.068,     1.500
     2.048,     1.500
     2.032,     1.500
     2.028,     1.200
     2.024,     1.200
     2.028,     1.200
     2.044,     1.200
     2.036,     1.600
     2.036,     1.100
     2.032,     1.400
     2.040,     1.500
     2.044,     1.500
     2.024,     1.300
     2.028,     1.400
     2.024,     1.600
     2.032,     1.400
     2.032,     1.500
     2.036,     1.400
     2.028,     1.100
     2.040,     1.400
     2.028,     1.400
     2.028,     1.300
     2.028,     1.400
     2.028,     1.400
     2.048,     1.500
     2.056,     1.400
     2.056,     1.400
     1.976,     1.300
     1.808,     0.900
     1.680,     0.700
     1.568,     0.500
     1.196,     0.100
     0.764,     0.000
     0.644,     0.200
     0.748,     0.200
     1.016,     0.400
     1.492,     0.200
     1.668,     0.500
     1.816,     0.700
     1.880,     1.100
     1.904,     1.100
     1.904,     0.800
     1.932,     0.800
     1.924,     1.200
     1.916,     1.300
     1.936,     1.100
     1.960,     1.200
     1.976,     1.300
     1.980,     1.300
     1.976,     1.500
     2.000,     1.400
     2.016,     1.400
     2.028,     1.400
     2.028,     1.600
     2.004,     1.400
     1.980,     1.200
     1.976,     1.300
     1.900,     1.100
     1.676,     0.400
     1.232,     0.400
     0.812,     0.300
     0.572,     0.100
     0.524,     0.500
     0.528,     0.300
     0.532,     0.100
     0.524,     0.200
     0.524,     0.300
     0.536,     0.200
     0.528,     0.400
     0.528,     0.200
     0.524,     0.100
     0.520,     0.400
     0.532,     0.200
     0.524,     0.200
     0.524,     0.200
     0.528,     0.200
     0.524,     0.300
     0.528,     0.300
     0.516,     0.300
